,Train Episodes,Train Success Rates,Train Time,Test Steps,Test Success Rates
343,18,0.05,0.0029900074005126953,6.0,1.0
344,10,0.0,0.0008950233459472656,100.0,0.0
345,13,0.0,0.0030062198638916016,100.0,0.0
346,17,0.03,0.00193023681640625,6.0,1.0
347,20,0.07,0.003962993621826172,6.0,1.0
348,12,0.0,0.001959562301635742,100.0,0.0
349,15,0.02,0.001965761184692383,6.0,1.0
350,21,0.08,0.00392603874206543,8.0,1.0
351,22,0.08,0.004000186920166016,6.0,1.0
352,9,0.0,0.001973390579223633,100.0,0.0
353,9,0.0,0.000986337661743164,100.0,0.0
354,11,0.01,0.0009717941284179688,100.0,0.0
355,9,0.01,0.0018815994262695312,100.0,0.0
356,13,0.0,0.0019769668579101562,100.0,0.0
357,12,0.0,0.0019943714141845703,7.0,0.0
358,20,0.07,0.0039217472076416016,6.0,1.0
359,8,0.0,0.0009715557098388672,100.0,0.0
360,12,0.0,0.002984762191772461,5.0,0.0
361,20,0.08,0.003977537155151367,8.0,1.0
362,16,0.03,0.0030040740966796875,6.0,1.0
363,10,0.0,0.0010006427764892578,100.0,0.0
364,25,0.11,0.005003690719604492,6.0,1.0
365,18,0.08,0.0039255619049072266,6.0,1.0
366,22,0.09,0.005002260208129883,6.0,1.0
367,21,0.08,0.003998994827270508,6.0,1.0
368,12,0.02,0.001951456069946289,100.0,0.0
369,13,0.0,0.0030126571655273438,100.0,0.0
370,9,0.0,0.0020058155059814453,5.0,0.0
371,9,0.0,0.002004861831665039,100.0,0.0
372,12,0.0,0.0019910335540771484,100.0,0.0
373,10,0.0,0.0009236335754394531,100.0,0.0
374,11,0.01,0.002003908157348633,100.0,0.0
375,20,0.08,0.0029189586639404297,6.0,1.0
376,12,0.02,0.0019693374633789062,4.0,0.0
377,20,0.08,0.004006385803222656,6.0,1.0
378,8,0.0,0.0019257068634033203,100.0,0.0
379,19,0.07,0.003987789154052734,6.0,1.0
380,19,0.07,0.002971649169921875,6.0,1.0
381,23,0.1,0.003980398178100586,6.0,1.0
382,19,0.07,0.00396275520324707,6.0,1.0
383,9,0.0,0.001989126205444336,5.0,0.0
384,9,0.0,0.001966238021850586,5.0,0.0
385,8,0.0,0.0009949207305908203,100.0,0.0
386,20,0.08,0.003922700881958008,6.0,1.0
387,19,0.07,0.002994060516357422,6.0,1.0
388,12,0.0,0.002981901168823242,5.0,0.0
389,20,0.07,0.003996372222900391,6.0,1.0
390,10,0.0,0.0019690990447998047,100.0,0.0
391,14,0.02,0.0019621849060058594,6.0,1.0
392,12,0.0,0.0019631385803222656,6.0,0.0
393,16,0.03,0.0030515193939208984,6.0,1.0
394,8,0.01,0.0020139217376708984,100.0,0.0
395,20,0.07,0.004000663757324219,8.0,1.0
396,20,0.07,0.002996683120727539,6.0,1.0
397,20,0.07,0.003923177719116211,6.0,1.0
398,11,0.0,0.0019731521606445312,100.0,0.0
399,16,0.06,0.00286865234375,6.0,1.0
400,18,0.08,0.003963470458984375,6.0,1.0
401,9,0.0,0.0019559860229492188,100.0,0.0
402,19,0.07,0.003924369812011719,6.0,1.0
403,20,0.08,0.0030333995819091797,6.0,1.0
404,7,0.0,0.0009248256683349609,100.0,0.0
405,12,0.0,0.003000497817993164,100.0,0.0
406,17,0.05,0.002994537353515625,6.0,1.0
407,21,0.07,0.004003047943115234,6.0,1.0
408,19,0.07,0.002994537353515625,6.0,1.0
409,18,0.07,0.004003286361694336,6.0,1.0
410,13,0.0,0.0029773712158203125,100.0,0.0
411,13,0.0,0.0019779205322265625,100.0,0.0
412,22,0.08,0.0029222965240478516,6.0,1.0
413,21,0.08,0.002992868423461914,6.0,1.0
414,17,0.07,0.002931356430053711,6.0,1.0
415,13,0.01,0.001981973648071289,100.0,0.0
416,21,0.08,0.004004001617431641,6.0,1.0
417,7,0.0,0.0019524097442626953,5.0,0.0
418,8,0.0,0.0029959678649902344,100.0,0.0
419,11,0.01,0.0019609928131103516,5.0,0.0
420,6,0.0,0.0009756088256835938,100.0,0.0
421,22,0.09,0.004923820495605469,6.0,1.0
422,27,0.1,0.004959583282470703,6.0,1.0
423,16,0.02,0.0029282569885253906,100.0,0.0
424,10,0.0,0.0019686222076416016,100.0,0.0
425,19,0.07,0.0039293766021728516,6.0,1.0
426,19,0.07,0.0038955211639404297,6.0,1.0
427,10,0.0,0.0020089149475097656,5.0,0.0
428,19,0.07,0.003934383392333984,6.0,1.0
429,19,0.08,0.004013538360595703,6.0,1.0
430,18,0.07,0.0039751529693603516,6.0,1.0
431,20,0.07,0.00397181510925293,6.0,1.0
432,17,0.07,0.0029740333557128906,6.0,1.0
433,21,0.09,0.008930206298828125,6.0,1.0
434,17,0.04,0.0029730796813964844,100.0,0.0
435,19,0.07,0.0029611587524414062,6.0,1.0
436,7,0.0,0.0019729137420654297,4.0,0.0
437,7,0.0,0.0019774436950683594,100.0,0.0
438,17,0.03,0.0030279159545898438,6.0,1.0
439,10,0.0,0.0019974708557128906,5.0,0.0
440,20,0.05,0.002998828887939453,6.0,1.0
441,9,0.0,0.001953601837158203,100.0,0.0
442,20,0.08,0.0028960704803466797,6.0,1.0
443,11,0.01,0.0019180774688720703,5.0,0.0
444,6,0.0,0.0,100.0,0.0
445,9,0.0,0.0019960403442382812,5.0,0.0
446,17,0.02,0.0040073394775390625,6.0,1.0
447,22,0.08,0.003999948501586914,6.0,1.0
448,11,0.0,0.0019295215606689453,5.0,0.0
449,18,0.07,0.002993345260620117,6.0,1.0
450,22,0.08,0.003926515579223633,6.0,1.0
451,19,0.07,0.003002166748046875,6.0,1.0
452,10,0.0,0.0029828548431396484,4.0,0.0
453,23,0.09,0.003973960876464844,6.0,1.0
454,21,0.08,0.004008054733276367,8.0,1.0
455,14,0.02,0.001997232437133789,100.0,0.0
456,10,0.0,0.0019736289978027344,100.0,0.0
457,11,0.0,0.0029921531677246094,100.0,0.0
458,22,0.08,0.003968954086303711,6.0,1.0
459,7,0.0,0.0009927749633789062,4.0,0.0
460,20,0.08,0.003928184509277344,6.0,1.0
461,10,0.0,0.0019905567169189453,100.0,0.0
462,9,0.01,0.0019648075103759766,100.0,0.0
463,20,0.08,0.0035707950592041016,6.0,1.0
464,18,0.03,0.0035333633422851562,6.0,1.0
465,7,0.0,0.00099945068359375,100.0,0.0
466,8,0.0,0.001958131790161133,100.0,0.0
467,20,0.08,0.004006624221801758,6.0,1.0
468,16,0.04,0.002992868423461914,6.0,1.0
469,9,0.0,0.0019538402557373047,100.0,0.0
470,12,0.01,0.0029799938201904297,100.0,0.0
471,17,0.07,0.0029997825622558594,6.0,1.0
472,19,0.08,0.0019936561584472656,6.0,1.0
473,15,0.02,0.003929615020751953,6.0,1.0
474,13,0.01,0.002971172332763672,100.0,0.0
475,19,0.07,0.002961874008178711,6.0,1.0
476,11,0.01,0.0015921592712402344,5.0,0.0
477,19,0.07,0.004003047943115234,6.0,1.0
478,26,0.09,0.004996061325073242,6.0,1.0
479,12,0.0,0.0029599666595458984,100.0,0.0
480,17,0.04,0.0030181407928466797,6.0,1.0
481,20,0.08,0.004011392593383789,6.0,1.0
482,9,0.0,0.001966714859008789,100.0,0.0
483,10,0.0,0.0029861927032470703,5.0,0.0
484,11,0.0,0.002962827682495117,100.0,0.0
485,21,0.07,0.00395512580871582,6.0,1.0
486,6,0.01,0.0010063648223876953,100.0,0.0
487,12,0.0,0.0020020008087158203,6.0,0.0
488,10,0.0,0.0019712448120117188,100.0,0.0
489,11,0.0,0.001981019973754883,5.0,0.0
490,19,0.07,0.003983736038208008,6.0,1.0
491,14,0.0,0.002971649169921875,100.0,0.0
492,20,0.08,0.0040013790130615234,6.0,1.0
493,21,0.08,0.003998279571533203,6.0,1.0
494,8,0.0,0.0019829273223876953,100.0,0.0
495,21,0.08,0.003039121627807617,6.0,1.0
496,21,0.08,0.003957271575927734,6.0,1.0
497,18,0.04,0.0030078887939453125,100.0,0.0
498,23,0.09,0.004938364028930664,6.0,1.0
499,13,0.02,0.0019741058349609375,6.0,1.0
500,13,0.01,0.0019989013671875,100.0,0.0
501,20,0.08,0.003968477249145508,6.0,1.0
502,20,0.07,0.004074573516845703,6.0,1.0
503,10,0.0,0.0020394325256347656,100.0,0.0
504,8,0.0,0.0009624958038330078,100.0,0.0
505,12,0.0,0.0019719600677490234,6.0,1.0
506,8,0.0,0.0009620189666748047,100.0,0.0
507,23,0.09,0.002954244613647461,6.0,1.0
508,14,0.02,0.0030570030212402344,100.0,0.0
509,9,0.0,0.001958131790161133,100.0,0.0
